facilityName,city,region,Country,sector_en,activity_en,cost_2021
WIENERBERGER,Zonnebeke,Flandre-Occidentale,Belgium,Mineral industry,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",14919754
ELECTRABEL CENTRALE VILVOORDE,Vilvoorde,Brabant flamand,Belgium,Energy sector,Thermal power stations and other combustion installations,14902663
KRONOS EUROPE,Gent,Flandre orientale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide",13814878
INTERGEMEENTELIJKE OPDRACHTHOUDENDE VERENIGING VOOR HUISVUILVERWERKING MEETJESLAND,Eeklo,Région flamande,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,13053428
INDUSTEEL BELGIUM,Marchienne-Au-Pont,Hainaut,Belgium,Production and processing of metals,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,11237808
AURUBIS BEERSE,Beerse,Anvers,Belgium,Production and processing of metals,"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",11221610
WIENERBERGER,Beerse,Anvers,Belgium,Mineral industry,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",10295767
NORBORD,Genk,Limbourg,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",9767123
STEP NORD (Aquiris),Bruxelles,Bruxelles-Capitale,Belgium,Waste and wastewater management,Urban waste-water treatment plants,9131199
UNILIN BV - SITE BOSPAN,Wielsbeke,Flandre-Occidentale,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",8947720
DOLOMIES DE MARCHE-LES-DAMES - Carrière,Namêche,Région wallonne,Belgium,Mineral industry,Opencast mining and quarrying,7565356
IMERYS GRAPHITE & CARBON BELGIUM,Willebroek,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide",7215598
SEGAL,Ivoz-Ramet,Liège,Belgium,Production and processing of metals,"Installations for the processing of ferrous metals, Application of protective fused metal coats",6698144
IVBO,Brugge,Flandre-Occidentale,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,5642709
PRAYON,Puurs-Sint-Amands,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate",5605774
INDAVER,Antwerpen,Anvers,Belgium,Waste and wastewater management,Installations for the recovery or disposal of hazardous waste,5176799
CELANESE PRODUCTION BELGIUM,Lanaken,Limbourg,Belgium,Energy sector,Thermal power stations and other combustion installations,4825892
Aurubis Olen,Olen,Anvers,Belgium,Production and processing of metals,"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",4802712
2VALORISE HAM,Ham,Limbourg,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,4407323
